step,wallclock_time,train/loss,train/learning_rate,train/tokens_per_sec,train/iter_time,val/loss,val/final_loss
0,0.6891980171203613,9.266227722167969,0.0,5943.844833330623,0.6891162395477295,,
50,5.575359582901001,9.207632064819336,2.5e-06,41700.229823901354,0.09822487831115723,,
100,10.464197158813477,8.964698791503906,5e-06,42042.398010924255,0.09742546081542969,,
150,15.356685876846313,8.550979614257812,7.5e-06,41734.87508350683,0.09814333915710449,,
200,20.244104862213135,8.062644958496094,1e-05,42057.83653624884,0.09738969802856445,,
250,25.133779525756836,7.537294387817383,1.25e-05,41647.56193606881,0.09834909439086914,,
300,30.02039933204651,7.094330787658691,1.5e-05,41957.48337196154,0.09762263298034668,,
350,34.910290479660034,6.595177173614502,1.75e-05,41711.771850895064,0.09819769859313965,,
400,39.79971933364868,6.144876003265381,2e-05,41993.48138877754,0.09753894805908203,,
450,44.69096231460571,5.639608860015869,2.25e-05,41777.09436394011,0.09804415702819824,,
500,49.57535243034363,5.2242350578308105,2.5e-05,42189.523225288365,0.09708571434020996,,
500,49.57535243034363,,,,,5.176179647445679,
550,55.63576865196228,4.788496017456055,2.7500000000000004e-05,42414.822053900316,0.09657001495361328,,
600,60.51516795158386,4.67391300201416,3e-05,42273.61221662562,0.0968925952911377,,
650,65.38646960258484,4.661019325256348,3.2500000000000004e-05,42218.34566718027,0.09701943397521973,,
700,70.25860857963562,4.1019368171691895,3.5e-05,41914.59210789552,0.09772253036499023,,
750,75.12772679328918,4.01718807220459,3.7500000000000003e-05,41988.34969376133,0.09755086898803711,,
800,79.999431848526,3.9607925415039062,4e-05,41856.38420457646,0.09785842895507812,,
850,84.87541627883911,3.9509077072143555,4.25e-05,41766.734618760165,0.0980684757232666,,
900,89.74802756309509,3.866584300994873,4.5e-05,42215.855845761056,0.09702515602111816,,
950,94.61872553825378,3.66816782951355,4.75e-05,42258.43068014945,0.09692740440368652,,
1000,99.49269413948059,3.5608458518981934,5e-05,41706.30377860047,0.09821057319641113,,
1000,99.49269413948059,,,,,3.5837568759918215,
1050,105.53270697593689,3.2416303157806396,5.25e-05,42027.07362622039,0.09746098518371582,,
1100,110.41017818450928,3.6151299476623535,5.500000000000001e-05,41610.23935515748,0.09843730926513672,,
1150,115.28735136985779,3.4815731048583984,5.7499999999999995e-05,41551.46612489721,0.09857654571533203,,
1200,120.16445899009705,3.54776668548584,6e-05,41783.089111993155,0.09803009033203125,,
1250,125.03747749328613,3.235806941986084,6.25e-05,42194.1860586204,0.09707498550415039,,
1300,129.91426014900208,3.2252845764160156,6.500000000000001e-05,42186.51883428774,0.0970926284790039,,
1350,134.79110407829285,3.1667239665985107,6.750000000000001e-05,42106.18089129513,0.09727787971496582,,
1400,139.66874504089355,3.185107946395874,7e-05,42104.839358276186,0.09728097915649414,,
1450,144.54433846473694,3.356610059738159,7.25e-05,42121.14994066708,0.0972433090209961,,
1500,149.4226779937744,3.2701478004455566,7.500000000000001e-05,42098.23613418609,0.09729623794555664,,
1500,149.4226779937744,,,,,3.052527868747711,
1550,155.47371292114258,3.202039957046509,7.75e-05,41802.202501338266,0.09798526763916016,,
1600,160.349023103714,2.9381449222564697,8e-05,42100.608929416005,0.0972907543182373,,
1650,165.22420811653137,3.1018710136413574,8.25e-05,42111.2382072928,0.09726619720458984,,
