step,wallclock_time,train/loss,train/learning_rate,train/tokens_per_sec,train/iter_time,val/loss,val/final_loss
0,1.2501819133758545,9.268117904663086,0.0,26211.950228955804,1.2501168251037598,,
50,37.06163048744202,5.728827476501465,0.0002,45679.60005849586,0.7173442840576172,,
100,72.99017858505249,3.689873695373535,0.0004,45509.85849319632,0.7200198173522949,,
150,108.95980310440063,3.080754280090332,0.0006,45660.78188438538,0.7176399230957031,,
200,144.95147275924683,2.655383586883545,0.0008,45511.80255197852,0.7199890613555908,,
250,180.93771934509277,2.510847330093384,0.001,45455.3568944071,0.7208831310272217,,
300,216.93010425567627,2.3343920707702637,0.0009981884322978576,45429.69416103006,0.7212903499603271,,
350,252.91755843162537,2.266890525817871,0.0009927683148693834,45562.46686037935,0.7191884517669678,,
400,288.9063937664032,2.139378786087036,0.000983783287313134,45581.70292999985,0.7188849449157715,,
450,324.89660358428955,2.112095594406128,0.0009713056917878818,45344.230945891686,0.7226498126983643,,
500,360.8829731941223,2.00024676322937,0.0009554359905560886,45577.75768326334,0.718947172164917,,
500,360.8829731941223,,,,,2.045012432336807,
550,404.3870675563812,1.9918397665023804,0.0009363019571208398,45513.671416209865,0.7199594974517822,,
600,440.3754289150238,1.9347419738769531,0.0009140576474687263,45623.373749364306,0.7182283401489258,,
650,476.36945486068726,1.9233676195144653,0.000888882159701625,45487.747098909465,0.720369815826416,,
700,512.3528115749359,1.898948311805725,0.0008609781920440892,45501.07462411834,0.7201588153839111,,
750,548.3428151607513,1.8519556522369385,0.0008305704108364302,45564.64200353341,0.7191541194915771,,
800,584.3292098045349,1.8781111240386963,0.0007979036416534462,45572.55886096915,0.7190291881561279,,
850,620.3187608718872,1.8011584281921387,0.0007632408981128494,45650.86305898984,0.7177958488464355,,
900,656.3086907863617,1.80070161819458,0.0007268612642442657,45508.39679094487,0.7200429439544678,,
950,692.2975125312805,1.8024852275848389,0.0006890576474687264,45504.37382736945,0.7201066017150879,,
1000,728.2856199741364,1.7685400247573853,0.0006501344202803415,45518.932188727485,0.7198762893676758,,
1000,728.2856199741364,,,,,1.7713715791702271,
1050,771.7523076534271,1.703972578048706,0.000610404969617945,45501.300581682146,0.7201552391052246,,
1100,807.7422411441803,1.7306441068649292,0.0005701891736577318,45516.927223694685,0.7199079990386963,,
1150,843.7283689975739,1.7378270626068115,0.0005298108263422684,45624.34304030934,0.7182130813598633,,
1200,879.7188663482666,1.6889801025390625,0.0004895950303820552,45500.24613225099,0.7201719284057617,,
1250,915.7102711200714,1.699144721031189,0.00044986557971965854,45496.11918590987,0.7202372550964355,,
1300,951.699755191803,1.748046875,0.0004109423525312737,45385.678329197275,0.7219898700714111,,
1350,987.6853265762329,1.647444248199463,0.0003731387357557344,45465.19093507697,0.7207272052764893,,
1400,1023.6780076026917,1.6817047595977783,0.00033675910188715063,45509.27078718989,0.7200291156768799,,
1450,1059.6616094112396,1.660369634628296,0.0003020963583465539,45573.32954171662,0.7190170288085938,,
1500,1095.6546063423157,1.611276388168335,0.00026942958916356994,45406.86548576201,0.7216529846191406,,
1500,1095.6546063423157,,,,,1.646493524312973,
1550,1139.119529247284,1.5886154174804688,0.0002390218079559109,45584.06133464408,0.7188477516174316,,
1600,1175.1057658195496,1.6464970111846924,0.00021111784029837513,45568.96269543262,0.7190859317779541,,
1650,1211.098653793335,1.6421747207641602,0.00018594235253127368,45634.22003936579,0.7180576324462891,,
1700,1247.0872576236725,1.5442850589752197,0.00016369804287916026,45650.07459114241,0.7178082466125488,,
1750,1283.0742704868317,1.6719672679901123,0.00014456400944391144,45688.72638447635,0.7172009944915771,,
1800,1319.0656342506409,1.5982345342636108,0.00012869430821211826,45494.89931959053,0.7202565670013428,,
1850,1355.0515115261078,1.610609531402588,0.00011621671268686605,45708.49487139067,0.716890811920166,,
1900,1391.0417568683624,1.6133594512939453,0.00010723168513061666,45464.363749435994,0.7207403182983398,,
1950,1427.0277545452118,1.5766363143920898,0.00010181156770214242,45515.0279460558,0.7199380397796631,,
2000,1463.0163598060608,1.6267039775848389,0.0001,45498.80010964288,0.7201948165893555,,
2000,1463.0163598060608,,,,,1.5945543110370637,
2050,1506.4864027500153,1.6345778703689575,0.0001,45517.002595124766,0.7199068069458008,,
2100,1542.4335396289825,1.594653844833374,0.0001,45641.357771659306,0.7179453372955322,,
2150,1578.360909461975,1.656374216079712,0.0001,45543.171561280455,0.7194931507110596,,
2200,1614.3083667755127,1.605097770690918,0.0001,45521.17856235578,0.7198407649993896,,
2250,1650.235713005066,1.5526820421218872,0.0001,45605.70655437702,0.7185065746307373,,
2300,1686.1892993450165,1.6144042015075684,0.0001,45651.40893730125,0.7177872657775879,,
2350,1722.1351804733276,1.5971808433532715,0.0001,45483.321377323824,0.7204399108886719,,
2400,1758.1236925125122,1.604655385017395,0.0001,45512.11904238381,0.7199840545654297,,
2450,1794.114974975586,1.569661021232605,0.0001,45484.69115149887,0.7204182147979736,,
2500,1834.4205975532532,,,,,,1.582593160867691
