step,wallclock_time,train/loss,train/learning_rate,train/tokens_per_sec,train/iter_time,val/loss,val/final_loss
0,0.9250309467315674,9.270013809204102,0.0,17713.045127109854,0.9249680042266846,,
50,19.20086669921875,4.451025485992432,0.0005,44612.984435325285,0.3672473430633545,,
100,37.4929358959198,3.2666068077087402,0.001,44580.569506839915,0.36751437187194824,,
150,55.81482553482056,2.817340850830078,0.0015,44932.07616018747,0.3646392822265625,,
200,74.15187740325928,2.623910427093506,0.002,44947.91688234898,0.36451077461242676,,
250,92.4904088973999,2.5213160514831543,0.0025,44726.284856275364,0.3663170337677002,,
300,110.81819915771484,2.464932441711426,0.003,44966.6815658104,0.36435866355895996,,
350,129.1529929637909,2.4256837368011475,0.0034999999999999996,44759.40771232873,0.3660459518432617,,
400,147.4996795654297,2.26358962059021,0.004,44442.6688672595,0.368654727935791,,
450,165.8292953968048,2.303889036178589,0.0045000000000000005,44607.858583183384,0.36728954315185547,,
500,184.25647711753845,2.2440595626831055,0.005,44716.12768920232,0.36640024185180664,,
500,184.25647711753845,,,,,2.275357222557068,
550,206.58216381072998,2.183974504470825,0.0055000000000000005,44435.369540589614,0.3687152862548828,,
600,224.91051197052002,2.2235183715820312,0.006,44576.896858705986,0.36754465103149414,,
650,243.3241949081421,2.0765390396118164,0.006500000000000001,44805.72198985343,0.36566758155822754,,
700,262.02013635635376,2.108881950378418,0.006999999999999999,40657.0234099149,0.4029808044433594,,
750,282.7854073047638,2.09592342376709,0.0075,38630.81974526626,0.4241173267364502,,
800,303.55061078071594,2.090700387954712,0.008,38853.297006656336,0.4216887950897217,,
850,324.2839949131012,2.0824499130249023,0.0085,41000.23968855809,0.39960741996765137,,
900,344.1861901283264,2.0192437171936035,0.009000000000000001,44993.11986056741,0.36414456367492676,,
950,362.5395030975342,2.0715222358703613,0.0095,44729.516326527955,0.3662905693054199,,
1000,380.8873722553253,1.9653263092041016,0.010000000000000002,44353.66035758152,0.36939454078674316,,
1000,380.8873722553253,,,,,2.002155339717865,
