step,wallclock_time,train/loss,train/learning_rate,train/tokens_per_sec,train/iter_time,val/loss,val/final_loss
0,0.6705217361450195,9.266227722167969,0.0,6109.25811563157,0.6704578399658203,,
50,5.560659170150757,8.57064151763916,2.5e-05,41428.521231675935,0.09886908531188965,,
100,10.44685697555542,6.974430561065674,5e-05,42035.1972439577,0.0974421501159668,,
150,15.334912300109863,5.438528060913086,7.5e-05,41740.7563055019,0.0981295108795166,,
200,20.20785641670227,4.488768577575684,0.0001,42244.61041222005,0.09695911407470703,,
250,25.07810616493225,4.021905899047852,0.000125,42243.67553266041,0.09696125984191895,,
300,29.949896335601807,3.8385977745056152,0.00015,41845.27162854366,0.0978844165802002,,
350,34.82557559013367,3.4977893829345703,0.000175,42024.60631352356,0.09746670722961426,,
400,39.70307993888855,3.4074954986572266,0.0002,41942.732802249986,0.0976569652557373,,
450,44.57555627822876,3.259589672088623,0.00022500000000000002,42046.51384265967,0.09741592407226562,,
500,49.45084309577942,3.0192275047302246,0.00025,42286.09836146275,0.09686398506164551,,
500,49.45084309577942,,,,,3.0894789576530455,
550,55.51542854309082,2.887852191925049,0.000275,42456.43532263924,0.09647536277770996,,
600,60.39081048965454,2.9732508659362793,0.0003,42077.09911705997,0.09734511375427246,,
650,65.26993465423584,3.054523229598999,0.00032500000000000004,41922.97919940653,0.0977029800415039,,
700,70.14906883239746,2.6775062084198,0.00035,42005.39175338393,0.09751129150390625,,
750,75.02846145629883,2.6113696098327637,0.000375,42067.41411742236,0.09736752510070801,,
800,79.90734195709229,2.7373459339141846,0.0004,42296.509117946116,0.09684014320373535,,
850,84.79233241081238,2.741030693054199,0.000425,41676.35609054367,0.0982811450958252,,
900,89.6727397441864,2.677217960357666,0.00045000000000000004,41725.85367180593,0.09816455841064453,,
950,94.55625081062317,2.604487419128418,0.000475,42261.965132383295,0.09691929817199707,,
1000,99.43493413925171,2.494716167449951,0.0005,42069.78343936567,0.09736204147338867,,
1000,99.43493413925171,,,,,2.5673909902572634,
1050,105.48538756370544,2.2676753997802734,0.0005250000000000001,41951.950692652004,0.09763550758361816,,
1100,110.36283755302429,2.666802406311035,0.00055,42114.23188498167,0.0972592830657959,,
1150,115.24343609809875,2.5489814281463623,0.000575,41932.70014962131,0.09768033027648926,,
1200,120.12169313430786,2.693279266357422,0.0006,41855.05854149359,0.09786152839660645,,
1250,124.99893975257874,2.3929810523986816,0.000625,42013.40424636965,0.09749269485473633,,
1300,129.878755569458,2.4222028255462646,0.0006500000000000001,41768.46088613996,0.09806442260742188,,
1350,134.7608163356781,2.3228776454925537,0.000675,41461.51551439942,0.09879040718078613,,
1400,139.63936185836792,2.3915791511535645,0.0007,41611.65034321396,0.0984339714050293,,
1450,144.51751470565796,2.6073975563049316,0.000725,41404.95750777855,0.09892535209655762,,
1500,149.39670634269714,2.5228166580200195,0.00075,41926.15080350933,0.09769558906555176,,
1500,149.39670634269714,,,,,2.3301756739616395,
1550,155.43698024749756,2.471940279006958,0.0007750000000000001,41895.37582730585,0.09776735305786133,,
1600,160.31633377075195,2.273479461669922,0.0008,42227.99649981811,0.09699726104736328,,
1650,165.19628930091858,2.396679639816284,0.000825,42082.97410824078,0.09733152389526367,,
1700,170.0771143436432,2.3249893188476562,0.00085,42015.87024383086,0.09748697280883789,,
1750,174.95536470413208,2.3352723121643066,0.000875,42218.449416112926,0.09701919555664062,,
1800,179.834801197052,2.3899850845336914,0.0009000000000000001,42045.690611845326,0.09741783142089844,,
1850,184.71323227882385,2.2716732025146484,0.000925,42184.44708979119,0.09709739685058594,,
1900,189.59793496131897,2.1881442070007324,0.00095,41922.058500994375,0.09770512580871582,,
1950,194.47721362113953,2.2393879890441895,0.000975,41815.12410521525,0.09795498847961426,,
2000,199.35655999183655,2.415342330932617,0.001,41759.01893268191,0.09808659553527832,,
2000,199.35655999183655,,,,,2.201729106903076,
2050,205.41223168373108,2.307384490966797,0.0009999716755396152,42135.40623451794,0.09721040725708008,,
