step,wallclock_time,train/loss,train/learning_rate,train/tokens_per_sec,train/iter_time,val/loss,val/final_loss
0,0.9059062004089355,9.270013809204102,0.0,18087.047668629708,0.905841588973999,,
50,18.71948003768921,8.787491798400879,1.4999999999999999e-05,45730.51712478497,0.3582727909088135,,
100,36.56722140312195,7.554919242858887,2.9999999999999997e-05,45871.42468571627,0.35717225074768066,,
150,54.508986473083496,6.243884563446045,4.4999999999999996e-05,45422.382284607236,0.3607032299041748,,
200,72.47489929199219,5.086699485778809,5.9999999999999995e-05,45798.847912944206,0.3577382564544678,,
250,90.46063327789307,4.392285346984863,7.5e-05,45524.45052325031,0.3598945140838623,,
300,108.45561480522156,3.959642171859741,8.999999999999999e-05,45618.16451607335,0.35915517807006836,,
350,126.4702296257019,3.6722493171691895,0.00010499999999999999,45282.455245016055,0.3618178367614746,,
400,144.56642985343933,3.3381600379943848,0.00011999999999999999,45298.09613130747,0.3616929054260254,,
450,162.70579171180725,3.223318099975586,0.000135,45178.26005572378,0.3626523017883301,,
500,180.88284993171692,3.0835797786712646,0.00015,45059.08590469983,0.36361145973205566,,
500,180.88284993171692,,,,,3.0922335028648376,
550,202.96266841888428,2.9393091201782227,0.000165,44782.01298766465,0.365861177444458,,
600,221.18407249450684,2.878232002258301,0.00017999999999999998,45007.17601135929,0.3640308380126953,,
650,239.42595529556274,2.6975250244140625,0.000195,45055.86572305643,0.36363744735717773,,
700,257.69458270072937,2.690790891647339,0.00020999999999999998,44843.644275996725,0.3653583526611328,,
750,275.96700406074524,2.651987314224243,0.000225,45199.89314011416,0.36247873306274414,,
800,294.2464950084686,2.614086151123047,0.00023999999999999998,44895.705369036754,0.36493468284606934,,
850,312.53690361976624,2.5472829341888428,0.00025499999999999996,44723.665088006455,0.36633849143981934,,
900,330.82731652259827,2.453336000442505,0.00027,44493.860186432765,0.36823058128356934,,
950,349.16475892066956,2.4912338256835938,0.000285,44164.24490005771,0.37097883224487305,,
1000,367.4999611377716,2.366589069366455,0.0003,44443.07126208418,0.3686513900756836,,
1000,367.4999611377716,,,,,2.3899653553962708,
1050,389.72817373275757,2.450070858001709,0.00031499999999999996,44504.723634701,0.36814069747924805,,
1100,408.05738639831543,2.2593636512756348,0.00033,44678.101150638904,0.3667120933532715,,
1150,426.38481163978577,2.3922171592712402,0.00034499999999999993,44795.79152067617,0.36574864387512207,,
1200,444.715215921402,2.257474184036255,0.00035999999999999997,44531.45818696226,0.3679196834564209,,
1250,463.051308631897,2.2764980792999268,0.00037499999999999995,44534.719287853826,0.3678927421569824,,
1300,481.40026116371155,2.1342849731445312,0.00039,44363.1093508618,0.36931586265563965,,
1350,499.74370670318604,2.1679928302764893,0.000405,44809.841505496945,0.3656339645385742,,
1400,518.0891904830933,2.1189422607421875,0.00041999999999999996,44305.39020954314,0.3697969913482666,,
1450,536.4261832237244,2.098507881164551,0.00043499999999999995,44795.64551720721,0.3657498359680176,,
1500,554.7509052753448,2.0976572036743164,0.00045,44741.80599930204,0.36618995666503906,,
